name,identifier,site,created,region,evento,data,corrente
"azienda-sanitaria-locale-vco","asl14_vco","https://www.aslvco.it","2024-11-26T10:50:36.033390","01",ingresso,2025-09-29,1
"azienda-sanitaria-regione-molise","a_cb","https://asrem.molise.it","2025-07-15T08:22:06.670746","14",ingresso,2025-09-29,1
"azienda-servizi-comunali-alla-persona","F3BP8FZZ","https://sercop.it","2025-04-14T12:36:15.932186","",ingresso,2025-09-29,1
"azienda-socio-sanitaria-territoriale-della-brianza","asstv","https://www.asst-brianza.it/","2025-02-17T15:51:03.604260","03",ingresso,2025-09-29,1
"azienda-socio-sanitaria-territoriale-della-valle-olona","asstvo","https://www.asst-valleolona.it/","2025-08-27T09:00:16.128452","03",ingresso,2025-09-29,1
"azienda-socio-sanitaria-territoriale-di-lecco","asstl","https://www.asst-lecco.it/","2025-02-24T14:11:29.637397","03",ingresso,2025-09-29,1
"azienda-socio-sanitaria-territoriale-lariana","asstla","https://www.asst-lariana.it/v2/","2024-11-14T13:32:55.022206","03",ingresso,2025-09-29,1
"azienda-socio-sanitaria-territoriale-nord-milano","asstnm","https://www.asst-nordmilano.it/","2025-02-18T15:58:49.682074","03",ingresso,2025-09-29,1
"boxxapps","04155080270","https://opendata2.boxxapps.com/","2024-03-08T18:12:46.044727","",ingresso,2025-09-29,1
"brescia-mobilita-spa","bmspa","https://www.bresciamobilita.it","2024-11-27T11:47:56.821882","03",ingresso,2025-09-29,1
"camera-di-commercio-delle-marche","cciaan","http://opendata.marche.camcom.it/","2024-03-08T18:15:05.531714","11",ingresso,2025-09-29,1
"camera-di-commercio-industria-artigianato-e-agricoltura-di-roma","cciaa_rm","https://www.rm.camcom.it/","2024-11-07T10:06:41.673226","12",ingresso,2025-09-29,1
"catalogo-test","agid","http://www.dati.gov.it","2024-10-22T09:50:45.909964","",ingresso,2025-09-29,1
"citta-metropolitana-di-catania","cmct","https://www.opendata.maggioli.cloud/organization/citta-metropolitana-di-catania","2024-10-21T14:33:06.320958","19",ingresso,2025-09-29,1
"citta-metropolitana-di-genova","cmge","https://www.cittametropolitana.genova.it/","2025-02-24T14:58:55.822626","07",ingresso,2025-09-29,1
"citta-metropolitana-di-napoli","cmna","https://dati.cittametropolitana.na.it/","2024-03-08T18:18:11.519257","15",ingresso,2025-09-29,1
"cnit-consorzio-nazionale-interuniversitario-per-le-telecomunicazioni","cnit","https://www.cnit.it/","2024-10-21T13:42:00.409707","",ingresso,2025-09-29,1
"commissione-di-vigilanza-sui-fondi-pensione","cvfp","","2025-02-10T15:06:58.100679","",ingresso,2025-09-29,1
"comune-di-alba-adriatica","c_a125","https://www.comune.alba-adriatica.te.it","2025-04-14T12:01:59.480180","13",ingresso,2025-09-29,1
"comune-di-alessandria","c_a182","https://www.comune.alessandria.it","2025-03-17T13:40:38.794427","01",ingresso,2025-09-29,1
"comune-di-altamura","c_a225","https://www.opendata.maggioli.cloud/organization/comune-di-altamura","2025-04-01T09:04:18.107021","16",ingresso,2025-09-29,1
