ID,DATAISTITUZIONE,DATACESSAZIONE,CODISTAT,CODCATASTALE,DENOMINAZIONE_IT,DENOMTRASLITTERATA,ALTRADENOMINAZIONE,ALTRADENOMTRASLITTERATA,IDPROVINCIA,IDPROVINCIAISTAT,IDREGIONE,IDPREFETTURA,STATO,SIGLAPROVINCIA,FONTE,DATAULTIMOAGG,COD_DENOM
16858,1964-09-01,9999-12-31,061017,B781,CARINOLA,CARINOLA,,,61,061,15,CE,A,CE,,2016-06-17,
1941,1927-01-12,9999-12-31,002032,B782,CARISIO,CARISIO,,,2,002,01,VC,A,VC,,2016-06-17,
1942,1952-05-17,9999-12-31,022042,B783,CARISOLO,CARISOLO,,,22,022,04,TN,A,TN,,2016-06-17,
1943,1861-03-17,9999-12-31,071011,B784,CARLANTINO,CARLANTINO,,,71,071,16,FG,A,FG,,2016-06-17,
1944,1928-05-12,9999-12-31,013047,B785,CARLAZZO,CARLAZZO,,,13,013,03,CO,A,CO,,2016-06-17,
1945,1861-03-17,9999-12-31,089006,B787,CARLENTINI,CARLENTINI,,,89,089,19,SR,A,SR,,2016-06-17,
1946,1968-04-06,9999-12-31,030018,B788,CARLINO,CARLINO,,,30,030,06,UD,A,UD,,2016-06-17,
22844,2016-04-28,9999-12-31,111010,B789,CARLOFORTE,CARLOFORTE,,,112,111,20,CA,A,SU,,2017-11-13,
1949,1871-01-01,9999-12-31,079020,B790,CARLOPOLI,CARLOPOLI,,,79,079,18,CZ,A,CZ,,2016-06-17,
1950,1861-03-17,9999-12-31,001059,B791,CARMAGNOLA,CARMAGNOLA,,,1,001,01,TO,A,TO,,2016-06-17,
1951,1861-03-17,9999-12-31,075014,B792,CARMIANO,CARMIANO,,,75,075,16,LE,A,LE,,2016-06-17,
1953,1992-04-16,9999-12-31,100002,B794,CARMIGNANO,CARMIGNANO,,,100,100,09,PO,A,PO,,2016-06-17,
1955,1867-08-26,9999-12-31,028023,B795,CARMIGNANO DI BRENTA,CARMIGNANO DI BRENTA,,,28,028,05,PD,A,PD,,2016-06-17,
1956,1947-06-17,9999-12-31,012033,B796,CARNAGO,CARNAGO,,,12,012,03,VA,A,VA,,2016-06-17,
1958,2009-06-30,9999-12-31,108016,B798,CARNATE,CARNATE,,,108,108,03,MB,A,MB,,2016-06-17,
1962,1928-02-21,9999-12-31,016055,B801,CAROBBIO DEGLI ANGELI,CAROBBIO DEGLI ANGELI,,,16,016,03,BG,A,BG,,2016-06-17,
1963,1861-03-17,9999-12-31,078026,B802,CAROLEI,CAROLEI,,,78,078,18,CS,A,CS,,2016-06-17,
1964,1861-03-17,9999-12-31,016056,B803,CARONA,CARONA,,,16,016,03,BG,A,BG,,2016-06-17,
1965,1861-03-17,9999-12-31,083011,B804,CARONIA,CARONIA,,,83,083,19,ME,A,ME,,2016-06-17,
1966,1940-03-23,9999-12-31,012034,B805,CARONNO PERTUSELLA,CARONNO PERTUSELLA,,,12,012,03,VA,A,VA,,2016-06-17,
1968,1940-03-23,9999-12-31,012035,B807,CARONNO VARESINO,CARONNO VARESINO,,,12,012,03,VA,A,VA,,2016-06-17,
1972,1923-12-22,9999-12-31,073002,B808,CAROSINO,CAROSINO,,,73,073,16,TA,A,TA,,2016-06-17,
1973,1927-01-12,9999-12-31,074002,B809,CAROVIGNO,CAROVIGNO,,,74,074,16,BR,A,BR,,2016-06-17,
1974,1970-03-03,9999-12-31,094007,B810,CAROVILLI,CAROVILLI,,,94,094,14,IS,A,IS,,2016-06-17,
1977,1929-10-06,9999-12-31,033011,B812,CARPANETO PIACENTINO,CARPANETO PIACENTINO,,,33,033,08,PC,A,PC,,2016-06-17,
16859,1937-07-18,9999-12-31,078027,B813,CARPANZANO,CARPANZANO,,,78,078,18,CS,A,CS,,2016-06-17,
22720,1998-09-04,9999-12-31,041009,B816,CARPEGNA,CARPEGNA,,,41,041,11,PU,A,PU,,2016-06-17,
1983,1861-03-17,9999-12-31,017039,B817,CARPENEDOLO,CARPENEDOLO,,,17,017,03,BS,A,BS,,2016-06-17,
1984,1861-03-17,9999-12-31,006033,B818,CARPENETO,CARPENETO,,,6,006,01,AL,A,AL,,2016-06-17,
1985,1868-03-25,9999-12-31,036005,B819,CARPI,CARPI,,,36,036,08,MO,A,MO,,2016-06-17,
1986,1861-03-17,9999-12-31,015050,B820,CARPIANO,CARPIANO,,,15,015,03,MI,A,MI,,2016-06-17,
1988,1863-02-06,9999-12-31,075015,B822,CARPIGNANO SALENTINO,CARPIGNANO SALENTINO,,,75,075,16,LE,A,LE,,2016-06-17,
1989,1948-01-17,9999-12-31,003036,B823,CARPIGNANO SESIA,CARPIGNANO SESIA,,,3,003,01,NO,A,NO,,2016-06-17,
1991,1884-06-20,9999-12-31,035011,B825,CARPINETI,CARPINETI,,,35,035,08,RE,A,RE,,2016-06-17,
1993,1927-01-12,9999-12-31,068008,B827,CARPINETO DELLA NORA,CARPINETO DELLA NORA,,,68,068,13,PE,A,PE,,2016-06-17,
1994,1939-12-08,9999-12-31,058020,B828,CARPINETO ROMANO,CARPINETO ROMANO,,,58,058,12,RM,A,RM,,2016-06-17,
1992,1863-02-06,9999-12-31,069011,B826,CARPINETO SINELLO,CARPINETO SINELLO,,,69,069,13,CH,A,CH,,2016-06-17,
1995,1861-03-17,9999-12-31,071012,B829,CARPINO,CARPINO,,,71,071,16,FG,A,FG,,2016-06-17,
1996,1970-03-03,9999-12-31,094008,B830,CARPINONE,CARPINONE,,,94,094,14,IS,A,IS,,2016-06-17,
16860,1946-03-04,9999-12-31,045003,B832,CARRARA,CARRARA,,,45,045,09,MS,A,MS,,2016-06-17,
16861,1911-04-18,9999-12-31,024024,B835,CARRÈ,CARRE',,,24,024,05,VI,A,VI,,2016-06-17,
2003,1895-01-21,9999-12-31,006034,B836,CARREGA LIGURE,CARREGA LIGURE,,,6,006,01,AL,A,AL,,2016-06-17,
2005,1923-12-22,9999-12-31,011009,B838,CARRO,CARRO,,,11,011,07,SP,A,SP,,2016-06-17,
2006,1923-12-22,9999-12-31,011010,B839,CARRODANO,CARRODANO,,,11,011,07,SP,A,SP,,2016-06-17,
2007,1861-03-17,9999-12-31,006035,B840,CARROSIO,CARROSIO,,,6,006,01,AL,A,AL,,2016-06-17,
2008,1861-03-17,9999-12-31,004043,B841,CARRÙ,CARRU',,,4,004,01,CN,A,CN,,2016-06-17,
2009,1861-03-17,9999-12-31,066025,B842,CARSOLI,CARSOLI,,,66,066,13,AQ,A,AQ,,2016-06-17,
2011,1866-11-19,9999-12-31,024025,B844,CARTIGLIANO,CARTIGLIANO,,,24,024,05,VI,A,VI,,2016-06-17,
2012,1861-03-17,9999-12-31,004044,B845,CARTIGNANO,CARTIGNANO,,,4,004,01,CN,A,CN,,2016-06-17,
2013,1998-09-04,9999-12-31,041010,B846,CARTOCETO,CARTOCETO,,,41,041,11,PU,A,PU,,2016-06-17,
2015,1861-03-17,9999-12-31,006036,B847,CARTOSIO,CARTOSIO,,,6,006,01,AL,A,AL,,2016-06-17,
2016,1866-11-19,9999-12-31,028026,B848,CARTURA,CARTURA,,,28,028,05,PD,A,PD,,2016-06-17,
2018,1861-03-17,9999-12-31,015051,B850,CARUGATE,CARUGATE,,,15,015,03,MI,A,MI,,2016-06-17,
16862,2009-08-23,9999-12-31,013048,B851,CARUGO,CARUGO,,,13,013,03,CO,A,CO,,2016-06-17,
2021,1861-03-17,9999-12-31,069012,B853,CARUNCHIO,CARUNCHIO,,,69,069,13,CH,A,CH,,2016-06-17,
2022,1861-03-17,9999-12-31,016057,B854,CARVICO,CARVICO,,,16,016,03,BG,A,BG,,2016-06-17,
2024,1980-01-02,9999-12-31,022043,B856,CARZANO,CARZANO,,,22,022,04,TN,A,TN,,2016-06-17,
2025,1992-04-16,9999-12-31,101004,B857,CASABONA,CASABONA,,,101,101,18,KR,A,KR,,2016-06-17,
2027,1970-03-03,9999-12-31,070011,B858,CASACALENDA,CASACALENDA,,,70,070,14,CB,A,CB,,2016-06-17,
2028,1861-03-17,9999-12-31,069013,B859,CASACANDITELLA,CASACANDITELLA,,,69,069,13,CH,A,CH,,2016-06-17,
