_id,Codice_ateco,Descrizione_ateco
25,01.14.0,01.14.0 - Coltivazione di canna da zucchero
26,01.14.00,01.14.00 - Coltivazione di canna da zucchero
27,01.15,01.15 - Coltivazione di tabacco
28,01.15.0,01.15.0 - Coltivazione di tabacco
29,01.15.00,01.15.00 - Coltivazione di tabacco
30,01.16,01.16 - Coltivazione di piante tessili
31,01.16.0,01.16.0 - Coltivazione di piante per la preparazione di fibre tessili
32,01.16.00,01.16.00 - Coltivazione di piante per la preparazione di fibre tessili
33,01.19,01.19 - Floricoltura e coltivazione di altre colture non permanenti
34,01.19.1,01.19.1 - Coltivazione di fiori in piena aria
35,01.19.10,01.19.10 - Coltivazione di fiori in piena aria
36,01.19.2,01.19.2 - Coltivazione di fiori in colture protette
37,01.19.20,01.19.20 - Coltivazione di fiori in colture protette
38,01.19.9,01.19.9 - Coltivazione di piante da foraggio e di altre colture non permanenti
39,01.19.90,01.19.90 - Coltivazione di piante da foraggio e di altre colture non permanenti
40,01.2,01.2 - COLTIVAZIONE DI COLTURE PERMANENTI
41,01.21,01.21 - Coltivazione di uva
42,01.21.0,01.21.0 - Coltivazione di uva
43,01.21.00,01.21.00 - Coltivazione di uva
44,01.22,01.22 - Coltivazione di frutta di origine tropicale e subtropicale
45,01.22.0,01.22.0 - Coltivazione di frutta di origine tropicale e subtropicale
46,01.22.00,01.22.00 - Coltivazione di frutta di origine tropicale e subtropicale
47,01.23,01.23 - Coltivazione di agrumi
48,01.23.0,01.23.0 - Coltivazione di agrumi
49,01.23.00,01.23.00 - Coltivazione di agrumi
50,01.24,01.24 - Coltivazione di pomacee e frutta a nocciolo
51,01.24.0,01.24.0 - Coltivazione di pomacee e frutta a nocciolo
52,01.24.00,01.24.00 - Coltivazione di pomacee e frutta a nocciolo
53,01.25,"01.25 - Coltivazione di altri alberi da frutta, frutti di bosco e in guscio"
54,01.25.0,"01.25.0 - Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio"
55,01.25.00,"01.25.00 - Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio"
56,01.26,01.26 - Coltivazione di frutti oleosi
57,01.26.0,01.26.0 - Coltivazione di frutti oleosi
58,01.26.00,01.26.00 - Coltivazione di frutti oleosi
59,01.27,01.27 - Coltivazione di piante per la produzione di bevande
60,01.27.0,01.27.0 - Coltivazione di piante per la produzione di bevande
61,01.27.00,01.27.00 - Coltivazione di piante per la produzione di bevande
62,01.28,"01.28 - Coltivazione di spezie, piante aromatiche e farmaceutiche"
63,01.28.0,"01.28.0 - Coltivazione di spezie, piante aromatiche e farmaceutiche"
64,01.28.00,"01.28.00 - Coltivazione di spezie, piante aromatiche e farmaceutiche"
65,01.29,01.29 - Coltivazione di altre colture permanenti (inclusi alberi di Natale)
66,01.29.0,01.29.0 - Coltivazione di altre colture permanenti (inclusi alberi di Natale)
67,01.29.00,01.29.00 - Coltivazione di altre colture permanenti (inclusi alberi di Natale)
68,01.3,01.3 - RIPRODUZIONE DELLE PIANTE
69,01.30,01.30 - Riproduzione delle piante
70,01.30.0,01.30.0 - Riproduzione delle piante
71,01.30.00,01.30.00 - Riproduzione delle piante
72,01.4,01.4 - ALLEVAMENTO DI ANIMALI
73,01.41,01.41 - Allevamento di bovini da latte
74,01.41.0,"01.41.0 - Allevamento di bovini e bufale da latte, produzione di latte crudo"
75,01.41.00,"01.41.00 - Allevamento di bovini e bufale da latte, produzione di latte crudo"
76,01.42,01.42 - Allevamento di altri bovini e di bufalini
77,01.42.0,01.42.0 - Allevamento di bovini e bufalini da carne
78,01.42.00,01.42.00 - Allevamento di bovini e bufalini da carne
79,01.43,01.43 - Allevamento di cavalli e altri equini
80,01.43.0,01.43.0 - Allevamento di cavalli e altri equini
81,01.43.00,01.43.00 - Allevamento di cavalli e altri equini
82,01.44,01.44 - Allevamento di cammelli e camelidi
83,01.44.0,01.44.0 - Allevamento di cammelli e camelidi
84,01.44.00,01.44.00 - Allevamento di cammelli e camelidi
85,01.45,01.45 - Allevamento di ovini e caprini
86,01.45.0,01.45.0 - Allevamento di ovini e caprini
87,01.45.00,01.45.00 - Allevamento di ovini e caprini
88,01.46,01.46 - Allevamento di suini
89,01.46.0,01.46.0 - Allevamento di suini
90,01.46.00,01.46.00 - Allevamento di suini
91,01.47,01.47 - Allevamento di pollame
92,01.47.0,01.47.0 - Allevamento di pollame
93,01.47.00,01.47.00 - Allevamento di pollame
94,01.49,01.49 - Allevamento di altri animali
95,01.49.1,01.49.1 - Allevamento di conigli
96,01.49.10,01.49.10 - Allevamento di conigli
97,01.49.2,01.49.2 - Allevamento di animali da pelliccia
98,01.49.20,01.49.20 - Allevamento di animali da pelliccia
99,01.49.3,01.49.3 - Apicoltura
100,01.49.30,01.49.30 - Apicoltura
101,01.49.4,01.49.4 - Bachicoltura
102,01.49.40,01.49.40 - Bachicoltura
103,01.49.9,01.49.9 - Allevamento di altri animali nca
104,01.49.90,01.49.90 - Allevamento di altri animali nca
105,01.5,01.5 - COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITÀ MISTA
106,01.50,01.50 - Coltivazioni agricole associate all'allevamento di animali: attività mista
107,01.50.0,01.50.0 - Coltivazioni agricole associate all'allevamento di animali: attività mista
108,01.50.00,01.50.00 - Coltivazioni agricole associate all'allevamento di animali: attività mista
109,01.6,01.6 - ATTIVITÀ DI SUPPORTO ALL'AGRICOLTURA E ATTIVITÀ SUCCESSIVE ALLA RACCOLTA
110,01.61,01.61 - Attività di supporto alla produzione vegetale
111,01.61.0,01.61.0 - Attività di supporto alla produzione vegetale
112,01.61.00,01.61.00 - Attività di supporto alla produzione vegetale
113,01.62,01.62 - Attività di supporto alla produzione animale
114,01.62.0,01.62.0 - Attività di supporto alla produzione animale (esclusi i servizi veterinari)
115,01.62.01,01.62.01 - Attività dei maniscalchi
116,01.62.09,01.62.09 - Altre attività di supporto alla produzione animale (esclusi i servizi veterinari)
117,01.63,01.63 - Attività successive alla raccolta
118,01.63.0,01.63.0 - Attività che seguono la raccolta
119,01.63.00,01.63.00 - Attività che seguono la raccolta
120,01.64,01.64 - Lavorazione delle sementi per la semina
121,01.64.0,01.64.0 - Lavorazione delle sementi per la semina
122,01.64.01,01.64.01 - Pulitura e cernita di semi e granaglie
123,01.64.09,01.64.09 - Altre lavorazioni delle sementi per la semina
124,01.7,"01.7 - CACCIA, CATTURA DI ANIMALI E SERVIZI CONNESSI"
125,01.70,"01.70 - Caccia, cattura di animali e servizi connessi"
126,01.70.0,"01.70.0 - Caccia, cattura di animali e servizi connessi"
127,01.70.00,"01.70.00 - Caccia, cattura di animali e servizi connessi"
128,02,02 - SILVICOLTURA ED UTILIZZO DI AREE FORESTALI
129,02.1,02.1 - SILVICOLTURA ED ALTRE ATTIVITÀ FORESTALI
130,02.10,02.10 - Silvicoltura ed altre attività forestali
131,02.10.0,02.10.0 - Silvicoltura e altre attività forestali
132,02.10.00,02.10.00 - Silvicoltura e altre attività forestali
133,02.2,02.2 - UTILIZZO DI AREE FORESTALI
134,02.20,02.20 - Utilizzo di aree forestali
135,02.20.0,02.20.0 - Utilizzo di aree forestali
136,02.20.00,02.20.00 - Utilizzo di aree forestali
137,02.3,02.3 - RACCOLTA DI PRODOTTI SELVATICI NON LEGNOSI
138,02.30,02.30 - Raccolta di prodotti selvatici non legnosi
139,02.30.0,02.30.0 - Raccolta di prodotti selvatici non legnosi
140,02.30.00,02.30.00 - Raccolta di prodotti selvatici non legnosi
141,02.4,02.4 - SERVIZI DI SUPPORTO PER LA SILVICOLTURA
142,02.40,02.40 - Servizi di supporto per la silvicoltura
143,02.40.0,02.40.0 - Servizi di supporto per la silvicoltura
144,02.40.00,02.40.00 - Servizi di supporto per la silvicoltura
145,03,03 - PESCA E ACQUACOLTURA
146,03.1,03.1 - PESCA
147,03.11,03.11 - Pesca marina
148,03.11.0,03.11.0 - Pesca in acque marine e lagunari e servizi connessi
149,03.11.00,03.11.00 - Pesca in acque marine e lagunari e servizi connessi
150,03.12,03.12 - Pesca in acque dolci
151,03.12.0,03.12.0 - Pesca in acque dolci e servizi connessi
152,03.12.00,03.12.00 - Pesca in acque dolci e servizi connessi
153,03.2,03.2 - ACQUACOLTURA
154,03.21,03.21 - Acquacoltura marina
155,03.21.0,"03.21.0 - Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi"
156,03.21.00,"03.21.00 - Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi"
157,03.22,03.22 - Acquacoltura in acque dolci
158,03.22.0,03.22.0 - Acquacoltura in acque dolci e servizi connessi
159,03.22.00,03.22.00 - Acquacoltura in acque dolci e servizi connessi
160,05,05 - ESTRAZIONE DI CARBONE (ESCLUSA TORBA)
161,05.1,05.1 - ESTRAZIONE DI ANTRACITE
162,05.10,05.10 - Estrazione di antracite
163,05.10.0,05.10.0 - Estrazione di antracite e litantrace
164,05.10.00,05.10.00 - Estrazione di antracite e litantrace
165,05.2,05.2 - ESTRAZIONE DI LIGNITE
166,05.20,05.20 - Estrazione di lignite
167,05.20.0,05.20.0 - Estrazione di lignite
168,05.20.00,05.20.00 - Estrazione di lignite
169,06,06 - ESTRAZIONE DI PETROLIO GREGGIO E DI GAS NATURALE
170,06.1,06.1 - ESTRAZIONE DI PETROLIO GREGGIO
171,06.10,06.10 - Estrazione di petrolio greggio
172,06.10.0,06.10.0 - Estrazione di petrolio greggio
173,06.10.00,06.10.00 - Estrazione di petrolio greggio
174,06.2,06.2 - ESTRAZIONE DI GAS NATURALE
175,06.20,06.20 - Estrazione di gas naturale
176,06.20.0,06.20.0 - Estrazione di gas naturale
177,06.20.00,06.20.00 - Estrazione di gas naturale
178,07,07 - ESTRAZIONE DI MINERALI METALLIFERI
179,07.1,07.1 - ESTRAZIONE DI MINERALI METALLIFERI FERROSI
180,07.10,07.10 - Estrazione di minerali metalliferi ferrosi
181,07.10.0,07.10.0 - Estrazione di minerali metalliferi ferrosi
182,07.10.00,07.10.00 - Estrazione di minerali metalliferi ferrosi
183,07.2,07.2 - ESTRAZIONE DI MINERALI METALLIFERI NON FERROSI
184,07.21,07.21 - Estrazione di minerali di uranio e di torio
185,07.21.0,07.21.0 - Estrazione di minerali di uranio e di torio
186,07.21.00,07.21.00 - Estrazione di minerali di uranio e di torio
187,07.29,07.29 - Estrazione di altri minerali metalliferi non ferrosi
188,07.29.0,07.29.0 - Estrazione di altri minerali metalliferi non ferrosi
189,07.29.00,07.29.00 - Estrazione di altri minerali metalliferi non ferrosi
190,08,08 - ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE
191,08.1,"08.1 - ESTRAZIONE DI PIETRA, SABBIA E ARGILLA"
192,08.11,"08.11 - Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia"
193,08.11.0,"08.11.0 - Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia"
194,08.11.00,"08.11.00 - Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia"
195,08.12,08.12 - Estrazione di ghiaia e sabbia; estrazione di argille e caolino
196,08.12.0,"08.12.0 - Estrazione di ghiaia, sabbia; estrazione di argille e caolino"
197,08.12.00,"08.12.00 - Estrazione di ghiaia, sabbia; estrazione di argille e caolino"
198,08.9,08.9 - ESTRAZIONE DI MINERALI DA CAVE E MINIERE NCA
199,08.91,08.91 - Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti
200,08.91.0,08.91.0 - Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti
201,08.91.00,08.91.00 - Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti
202,08.92,08.92 - Estrazione di torba
203,08.92.0,08.92.0 - Estrazione di torba
204,08.92.00,08.92.00 - Estrazione di torba
205,08.93,08.93 - Estrazione di sale
206,08.93.0,08.93.0 - Estrazione di sale
207,08.93.00,08.93.00 - Estrazione di sale
208,08.99,08.99 - Estrazione di altri minerali da cave e miniere nca
209,08.99.0,08.99.0 - Estrazione di altri minerali nca
210,08.99.01,08.99.01 - Estrazione di asfalto e bitume naturale
211,08.99.09,08.99.09 - Estrazione di pomice e di altri minerali nca
212,09,09 - ATTIVITÀ DEI SERVIZI DI SUPPORTO ALL'ESTRAZIONE
213,09.1,09.1 - ATTIVITÀ DI SUPPORTO ALL'ESTRAZIONE DI PETROLIO E DI GAS NATURALE
214,09.10,09.10 - Attività di supporto all'estrazione di petrolio e di gas naturale
215,09.10.0,09.10.0 - Attività di supporto all'estrazione di petrolio e di gas naturale
216,09.10.00,09.10.00 - Attività di supporto all'estrazione di petrolio e di gas naturale
217,09.9,09.9 - ATTIVITÀ DI SUPPORTO PER L'ESTRAZIONE DA CAVE E MINIERE DI ALTRI MINERALI
218,09.90,09.90 - Attività di supporto per l'estrazione da cave e miniere di altri minerali
219,09.90.0,09.90.0 - Attività di supporto per l'estrazione da cave e miniere di altri minerali
220,09.90.01,"09.90.01 - Attività di supporto all'estrazione di pietre ornamentali, da costruzione, da gesso, di anidrite, per calce e cementi, di dolomite, di ardesia, di ghiaia e sabbia, di argilla, di caolino, di pomice"
221,09.90.09,09.90.09 - Attività di supporto all'estrazione di altri minerali nca
222,10,10 - INDUSTRIE ALIMENTARI
223,10.1,10.1 - LAVORAZIONE E CONSERVAZIONE DI CARNE E PRODUZIONE DI PRODOTTI A BASE DI CARNE
224,10.11,10.11 - Lavorazione e conservazione di carne (escluso volatili)
225,10.11.0,10.11.0 - Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi)
226,10.11.00,10.11.00 - Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi)
227,10.12,10.12 - Lavorazione e conservazione di carne di volatili
228,10.12.0,10.12.0 - Produzione di carne di volatili e prodotti della loro macellazione (attività dei mattatoi)
229,10.12.00,10.12.00 - Produzione di carne di volatili e prodotti della loro macellazione (attività dei mattatoi)
230,10.13,10.13 - Produzione di prodotti a base di carne (inclusa la carne di volatili)
231,10.13.0,10.13.0 - Produzione di prodotti a base di carne (inclusa la carne di volatili)
232,10.13.00,10.13.00 - Produzione di prodotti a base di carne (inclusa la carne di volatili)
233,10.2,"10.2 - LAVORAZIONE E CONSERVAZIONE DI PESCE, CROSTACEI E MOLLUSCHI"
234,10.20,"10.20 - Lavorazione e conservazione di pesce, crostacei e molluschi"
235,10.20.0,"10.20.0 - Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera"
236,10.20.00,"10.20.00 - Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera"
237,10.3,10.3 - LAVORAZIONE E CONSERVAZIONE DI FRUTTA E ORTAGGI
238,10.31,10.31 - Lavorazione e conservazione delle patate
239,10.31.0,10.31.0 - Lavorazione e conservazione delle patate
240,10.31.00,10.31.00 - Lavorazione e conservazione delle patate
241,10.32,10.32 - Produzione di succhi di frutta e di ortaggi
242,10.32.0,10.32.0 - Produzione di succhi di frutta e di ortaggi
243,10.32.00,10.32.00 - Produzione di succhi di frutta e di ortaggi
244,10.39,10.39 - Altra Lavorazione e conservazione di frutta e di ortaggi
245,10.39.0,10.39.0 - Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi)
246,10.39.00,10.39.00 - Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi)
247,10.4,10.4 - PRODUZIONE DI OLI E GRASSI VEGETALI E ANIMALI
248,10.41,10.41 - Produzione di oli e grassi
249,10.41.1,10.41.1 - Produzione di olio di oliva da olive prevalentemente non di produzione propria
250,10.41.10,10.41.10 - Produzione di olio di oliva da olive prevalentemente non di produzione propria
251,10.41.2,10.41.2 - Produzione di olio raffinato o grezzo da semi oleosi o frutti oleosi prevalentemente non di produzione propria
252,10.41.20,10.41.20 - Produzione di olio raffinato o grezzo da semi oleosi o frutti oleosi prevalentemente non di produzione propria
253,10.41.3,10.41.3 - Produzione di oli e grassi animali grezzi o raffinati
254,10.41.30,10.41.30 - Produzione di oli e grassi animali grezzi o raffinati
255,10.42,10.42 - Produzione di margarina e di grassi commestibili simili
256,10.42.0,10.42.0 - Produzione di margarina e di grassi commestibili simili
257,10.42.00,10.42.00 - Produzione di margarina e di grassi commestibili simili
258,10.5,10.5 - INDUSTRIA LATTIERO-CASEARIA
259,10.51,"10.51 - Industria lattiero-casearia, trattamento igienico, conservazione del latte"
260,10.51.1,10.51.1 - Trattamento igienico del latte
261,10.51.10,10.51.10 - Trattamento igienico del latte
262,10.51.2,10.51.2 - Produzione dei derivati del latte
263,10.51.20,10.51.20 - Produzione dei derivati del latte
264,10.52,10.52 - Produzione di gelati
265,10.52.0,10.52.0 - Produzione di gelati senza vendita diretta al pubblico
266,10.52.00,10.52.00 - Produzione di gelati senza vendita diretta al pubblico
267,10.6,"10.6 - LAVORAZIONE DELLE GRANAGLIE, PRODUZIONE DI AMIDI E DI PRODOTTI AMIDACEI"
268,10.61,10.61 - Lavorazione delle granaglie
269,10.61.1,10.61.1 - Molitura del frumento
270,10.61.10,10.61.10 - Molitura del frumento
271,10.61.2,10.61.2 - Molitura di altri cereali
272,10.61.20,10.61.20 - Molitura di altri cereali
273,10.61.3,10.61.3 - Lavorazione del riso
274,10.61.30,10.61.30 - Lavorazione del riso
275,10.61.4,10.61.4 - Altre lavorazioni di semi e granaglie
276,10.61.40,10.61.40 - Altre lavorazioni di semi e granaglie
277,10.62,10.62 - Produzione di amidi e di prodotti amidacei
278,10.62.0,10.62.0 - Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais)
279,10.62.00,10.62.00 - Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais)
280,10.7,10.7 - PRODUZIONE DI PRODOTTI DA FORNO E FARINACEI
281,10.71,10.71 - Produzione di pane; prodotti di pasticceria freschi
282,10.71.1,10.71.1 - Produzione di prodotti di panetteria freschi
283,10.71.10,10.71.10 - Produzione di prodotti di panetteria freschi
284,10.71.2,10.71.2 - Produzione di pasticceria fresca
285,10.71.20,10.71.20 - Produzione di pasticceria fresca
286,10.72,10.72 - Produzione di fette biscottate e di biscotti; produzione di prodotti di pasticceria conservati
287,10.72.0,"10.72.0 - Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati"
288,10.72.00,"10.72.00 - Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati"
289,10.73,"10.73 - Produzione di paste alimentari, di cuscus e di prodotti farinacei simili"
290,10.73.0,"10.73.0 - Produzione di paste alimentari, di cuscus e di prodotti farinacei simili"
291,10.73.00,"10.73.00 - Produzione di paste alimentari, di cuscus e di prodotti farinacei simili"
292,10.8,10.8 - PRODUZIONE DI ALTRI PRODOTTI ALIMENTARI
293,10.81,10.81 - Produzione di zucchero
294,10.81.0,10.81.0 - Produzione di zucchero
295,10.81.00,10.81.00 - Produzione di zucchero
296,10.82,"10.82 - Produzione di cacao, cioccolato, caramelle e confetterie"
297,10.82.0,"10.82.0 - Produzione di cacao in polvere, cioccolato, caramelle e confetterie"
298,10.82.00,"10.82.00 - Produzione di cacao in polvere, cioccolato, caramelle e confetterie"
299,10.83,10.83 - Lavorazione del tè e del caffè
300,10.83.0,10.83.0 - Lavorazione del tè e del caffè
301,10.83.01,10.83.01 - Lavorazione del caffè
302,10.83.02,10.83.02 - Lavorazione del tè e di altri preparati per infusi
303,10.84,10.84 - Produzione di condimenti e spezie
304,10.84.0,10.84.0 - Produzione di condimenti e spezie
305,10.84.00,10.84.00 - Produzione di condimenti e spezie
306,10.85,10.85 - Produzione di pasti e piatti preparati
307,10.85.0,"10.85.0 - Produzione di pasti e piatti pronti (preparati, conditi, cucinati e confezionati)"
308,10.85.01,10.85.01 - Produzione di piatti pronti a base di carne e pollame
309,10.85.02,"10.85.02 - Produzione di piatti pronti a base di pesce, inclusi fish and chips"
310,10.85.03,10.85.03 - Produzione di piatti pronti a base di ortaggi
311,10.85.04,10.85.04 - Produzione di pizza confezionata
312,10.85.05,10.85.05 - Produzione di piatti pronti a base di pasta
313,10.85.09,10.85.09 - Produzione di pasti e piatti pronti di altri prodotti alimentari
314,10.86,10.86 - Produzione di preparati omogeneizzati e di alimenti dietetici
315,10.86.0,10.86.0 - Produzione di preparati omogeneizzati e di alimenti dietetici
316,10.86.00,10.86.00 - Produzione di preparati omogeneizzati e di alimenti dietetici
317,10.89,10.89 - Produzione di prodotti alimentari nca
318,10.89.0,10.89.0 - Produzione di prodotti alimentari nca
319,10.89.01,10.89.01 - Produzione di estratti e succhi di carne
320,10.89.09,10.89.09 - Produzione di altri prodotti alimentari nca
321,10.9,10.9 - PRODUZIONE DI PRODOTTI PER L'ALIMENTAZIONE DEGLI ANIMALI
322,10.91,10.91 - Produzione di mangimi per l'alimentazione degli animali da allevamento
323,10.91.0,10.91.0 - Produzione di mangimi per l'alimentazione degli animali da allevamento
324,10.91.00,10.91.00 - Produzione di mangimi per l'alimentazione degli animali da allevamento
325,10.92,10.92 - Produzione di prodotti per l'alimentazione degli animali da compagnia
326,10.92.0,10.92.0 - Produzione di prodotti per l'alimentazione degli animali da compagnia
327,10.92.00,10.92.00 - Produzione di prodotti per l'alimentazione degli animali da compagnia
328,11,11 - INDUSTRIA DELLE BEVANDE
329,11.0,11.0 - INDUSTRIA DELLE BEVANDE
330,11.01,"11.01 - Distillazione, rettifica e miscelatura degli alcolici"
331,11.01.0,"11.01.0 - Distillazione, rettifica e miscelatura degli alcolici"
332,11.01.00,"11.01.00 - Distillazione, rettifica e miscelatura degli alcolici"
333,11.02,11.02 - Produzione di vini da uve
334,11.02.1,11.02.1 - Produzione di vini da tavola e v.q.p.r.d.
335,11.02.10,11.02.10 - Produzione di vini da tavola e v.q.p.r.d.
336,11.02.2,11.02.2 - Produzione di vino spumante e altri vini speciali
337,11.02.20,11.02.20 - Produzione di vino spumante e altri vini speciali
338,11.03,11.03 - Produzione di sidro e di altri vini a base di frutta
339,11.03.0,11.03.0 - Produzione di sidro e di altri vini a base di frutta
340,11.03.00,11.03.00 - Produzione di sidro e di altri vini a base di frutta
341,11.04,11.04 - Produzione di altre bevande fermentate non distillate
342,11.04.0,11.04.0 - Produzione di altre bevande fermentate non distillate
343,11.04.00,11.04.00 - Produzione di altre bevande fermentate non distillate
344,11.05,11.05 - Produzione di birra
345,11.05.0,11.05.0 - Produzione di birra
346,11.05.00,11.05.00 - Produzione di birra
347,11.06,11.06 - Produzione di malto
348,11.06.0,11.06.0 - Produzione di malto
349,11.06.00,11.06.00 - Produzione di malto
350,11.07,"11.07 - Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia"
351,11.07.0,"11.07.0 - Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia"
352,11.07.00,"11.07.00 - Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia"
353,12,12 - INDUSTRIA DEL TABACCO
354,12.0,12.0 - INDUSTRIA DEL TABACCO
355,12.00,12.00 - Industria del tabacco
356,12.00.0,12.00.0 - Industria del tabacco
357,12.00.00,12.00.00 - Industria del tabacco
358,13,13 - INDUSTRIE TESSILI
359,13.1,13.1 - PREPARAZIONE E FILATURA DI FIBRE TESSILI
360,13.10,13.10 - Preparazione e filatura di fibre tessili
361,13.10.0,13.10.0 - Preparazione e filatura di fibre tessili
362,13.10.00,13.10.00 - Preparazione e filatura di fibre tessili
363,13.2,13.2 - TESSITURA
364,13.20,13.20 - Tessitura
365,13.20.0,13.20.0 - Tessitura
366,13.20.00,13.20.00 - Tessitura
367,13.3,13.3 - FINISSAGGIO DEI TESSILI
368,13.30,13.30 - Finissaggio dei tessili
369,13.30.0,"13.30.0 - Finissaggio dei tessili, degli articoli di vestiario e attività similari"
370,13.30.00,"13.30.00 - Finissaggio dei tessili, degli articoli di vestiario e attività similari"
371,13.9,13.9 - ALTRE INDUSTRIE TESSILI
372,13.91,13.91 - Fabbricazione di tessuti a maglia
373,13.91.0,13.91.0 - Fabbricazione di tessuti a maglia
374,13.91.00,13.91.00 - Fabbricazione di tessuti a maglia
375,13.92,13.92 - Confezionamento di articoli tessili (esclusi gli articoli di abbigliamento)
376,13.92.1,"13.92.1 - Confezionamento di biancheria da letto, da tavola e per l'arredamento"
377,13.92.10,"13.92.10 - Confezionamento di biancheria da letto, da tavola e per l'arredamento"
378,13.92.2,13.92.2 - Fabbricazione di articoli in materie tessili nca
379,13.92.20,13.92.20 - Fabbricazione di articoli in materie tessili nca
380,13.93,13.93 - Fabbricazione di tappeti e moquette
381,13.93.0,13.93.0 - Fabbricazione di tappeti e moquette
382,13.93.00,13.93.00 - Fabbricazione di tappeti e moquette
383,13.94,"13.94 - Fabbricazione di spago, corde, funi e reti"
384,13.94.0,"13.94.0 - Fabbricazione di spago, corde, funi e reti"
385,13.94.00,"13.94.00 - Fabbricazione di spago, corde, funi e reti"
386,13.95,13.95 - Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento)
387,13.95.0,13.95.0 - Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento)
388,13.95.00,13.95.00 - Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento)
389,13.96,13.96 - Fabbricazione di articoli tessili tecnici ed industriali
390,13.96.1,"13.96.1 - Fabbricazione di nastri, etichette e passamanerie di fibre tessili"
391,13.96.10,"13.96.10 - Fabbricazione di nastri, etichette e passamanerie di fibre tessili"
392,13.96.2,13.96.2 - Fabbricazione di altri articoli tessili tecnici ed industriali
393,13.96.20,13.96.20 - Fabbricazione di altri articoli tessili tecnici ed industriali
